date,uptake,period
18/03/20,0,0
19/03/20,1,1
20/03/20,2,2
21/03/20,2,3
22/03/20,5,4
23/03/20,13,5
24/03/20,23,6
25/03/20,23,7
26/03/20,26,8
27/03/20,29,9
28/03/20,32,10
29/03/20,42,11
30/03/20,49,12
31/03/20,60,13
01/04/20,68,14
02/04/20,95,15
03/04/20,114,16
04/04/20,126,17
05/04/20,127,18
06/04/20,139,19
07/04/20,150,20
08/04/20,158,21
